50353	51.72 	126.65
50632	48.77 	121.92
50527	49.22 	119.75
50434	50.45 	121.70
50557	49.17 	125.23
50745	47.38 	123.92
50756	47.43 	126.97
50788	47.23 	131.98
50873	46.49 	130.17
50978	45.28 	130.95
50953	45.75 	126.77
54094	44.57 	129.60
50838	46.08 	122.05
54135	43.60 	122.27
54161	43.90 	125.22
54292	42.88 	129.47
54363	41.68 	125.90
54342	41.77 	123.43
54324	41.55 	120.45
54471	40.67 	122.20
54497	40.05 	124.33
54662	38.90 	121.63
54027	43.98 	119.40
54102	43.95 	116.07
53276	42.40 	112.90
54208	42.18 	116.47
54218	42.27 	118.97
54423	40.97 	117.93
54401	40.78 	114.88
53463	40.82 	111.68
53446	40.66 	109.85
53420	40.58 	107.10
54511	39.93 	116.28
54527	39.10 	117.17
53698	38.03 	114.42
54714	37.29 	116.22
53798	37.07 	114.50
53898	36.12 	114.37
54765	37.36 	121.26
54857	36.07 	120.33
54843	36.70 	119.08
54823	36.68 	116.98
54938	35.05 	118.35
54906	35.15 	115.26
58044	34.36 	119.10
58144	33.60 	119.03
58028	34.19 	117.22
58221	32.95 	117.37
58203	32.93 	115.83
57083	34.72 	113.65
57178	33.03 	112.58
57297	32.13 	114.05
58251	32.87 	120.32
58238	32.00 	118.80
58321	31.87 	117.23
58367	31.41 	121.46
58457	30.23 	120.17
58424	30.53 	117.05
58531	29.71 	118.28
58502	29.45 	115.59
57494	30.62 	114.13
57378	31.17 	112.57
57584	29.38 	113.08
57461	30.70 	111.30
57662	29.05 	111.68
58562	29.86 	121.56
58633	28.97 	118.87
58659	28.02 	120.67
58731	27.92 	118.53
58847	26.08 	119.28
58921	25.97 	117.35
58626	28.30 	117.21
58606	28.60 	115.92
58813	26.85 	116.33
57799	27.12 	114.97
57993	25.85 	114.95
57679	28.12 	113.04
57872	26.90 	112.60
57980	25.45 	112.59
57865	26.14 	111.36
57745	27.45 	109.68
59134	24.48 	118.08
59117	24.30 	116.12
59316	23.40 	116.68
59082	24.80 	113.58
59293	23.73 	114.68
59288	23.08 	113.19
59663	21.87 	111.97
59658	21.22 	110.40
59758	20.03 	110.35
57957	25.33 	110.30
59044	24.22 	109.23
59266	23.29 	111.18
59431	22.82 	108.35
59644	21.48 	109.10
59211	23.90 	106.60
57713	27.70 	106.88
57816	26.58 	106.72
57707	27.30 	105.23
57902	25.43 	105.18
57932	25.97 	108.53
57447	30.28 	109.47
57328	31.20 	107.50
57633	28.83 	108.77
57516	29.52 	106.48
57411	30.80 	106.08
57504	29.58 	105.05
56196	31.47 	104.68
56294	30.67 	104.02
56492	28.80 	104.60
56287	29.98 	103.00
56374	30.05 	101.97
56571	27.90 	102.27
56671	26.65 	102.25
56651	26.83 	100.47
56751	25.70 	100.18
56748	25.13    99.22
56778	25.02 	102.68
56951	23.95 	100.22
56985	23.38 	103.38
56959	22.02 	100.80
56146	31.62 	100.00
56444	28.50 	 98.90
56137	31.15 	 97.17
55591	29.67 	 91.13
57036	34.30 	108.93
57006	34.58 	105.75
56093	34.43 	104.01
57127	33.07 	107.03
57245	32.72 	109.03
57253	32.51 	110.49
53882	36.03 	113.04
53772	37.78 	112.55
53868	36.05 	111.32
53646	38.23 	109.70
53845	36.60 	109.50
53923	35.73 	107.63
52889	36.05 	103.88
53905	37.48 	105.67
53614	38.48 	106.22
52866	36.62 	101.77
52984	35.58 	103.18
56033	34.92 	 98.22
56029	33.02 	 97.02
52679	38.05 	102.55
52652	38.93 	100.43
52533	39.77 	 98.48
52418	40.15 	 94.68
51573	42.93 	 89.20
51644	41.72 	 82.95
51709	39.47 	 75.98
51828	37.13 	 79.93
51855	38.15 	 85.55
51777	39.03 	 88.17
52203	42.82 	 93.52
51076	47.73 	 88.08
51133	46.73 	 83.00
51346	44.43 	 84.66
51431	43.95 	 81.33
51463	43.78 	 87.62
